http://www.pestnet.org/fact_sheets/pineapple_mealybug_282.htm, Dysmicoccus neobrevipes
http://www.pestnet.org/fact_sheets/onion_thrips_117.htm, Thrips tabaci
http://www.pestnet.org/fact_sheets/oribius_weevils_273.htm, Oribius
http://www.pestnet.org/fact_sheets/onion_aphid_276.htm, Neotoxoptera formosana
http://www.pestnet.org/fact_sheets/onion_aphid_276.htm, Neotoxoptera violae
http://www.pestnet.org/fact_sheets/onion_aphid_276.htm, Neotoxoptera olieri
http://www.pestnet.org/fact_sheets/melon_thrips_106.htm, Thrips palmi
http://www.pestnet.org/fact_sheets/mango_leafhoppers_263.htm, Idioscopus nitidulus
http://www.pestnet.org/fact_sheets/mango_leafhoppers_263.htm, Idioscopus clypealis
http://www.pestnet.org/fact_sheets/mango_redbanded_caterpillar_281.htm, Deanolis sublimbalis
http://www.pestnet.org/fact_sheets/mango_redbanded_caterpillar_281.htm, Noorda albizonalis
http://www.pestnet.org/fact_sheets/mango_redbanded_caterpillar_281.htm, Deanolis albizonalis
http://www.pestnet.org/fact_sheets/melon_aphid_038.htm, Aphis gossypii
http://www.pestnet.org/fact_sheets/maize_asian_corn_borer_115.htm, Ostrinia furnacalis
http://www.pestnet.org/fact_sheets/hibiscus_mite_266.htm, Eriophyes hibisci
http://www.pestnet.org/fact_sheets/little_fire_ant_182.htm, Wasmannia auropunctata
http://www.pestnet.org/fact_sheets/leafminers_110.htm, Liriomyza sativae
http://www.pestnet.org/fact_sheets/leafminers_110.htm, Liriomyza trifolii
http://www.pestnet.org/fact_sheets/leafminers_110.htm, Liriomyza huidobrebsis
http://www.pestnet.org/fact_sheets/green_vegetable_bug_098.htm, Nezara viridula
http://www.pestnet.org/fact_sheets/erythrina_gall_wasp_268.htm, Quadrastichus erythrinae
http://www.pestnet.org/fact_sheets/ficus_sandpaper_cabbage_beetle_238.htm, Poneridia
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Bactrocera distincta
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Bactrocera kirki
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Bactrocera gnetum
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Bactrocera obscura
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Bactrocera passiflorae
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Bactrocera sp. nr. passiflorae
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Bactrocera xanthodes
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Bactrocera paraxanthodea
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Bactrocera neoxanthodes
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Bactrocera frauenfeldi
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Bactrocera cucurbitae
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Bactrocera umbrosa
http://www.pestnet.org/fact_sheets/fruit_flies__fiji_170.htm, Dacus nensis
http://www.pestnet.org/fact_sheets/fruit_flies__tonga_171.htm, Bactrocera facialis
http://www.pestnet.org/fact_sheets/fruit_flies__tonga_171.htm, Bactrocera kirki
http://www.pestnet.org/fact_sheets/fruit_flies__tonga_171.htm, Bactrocera xanthodes
http://www.pestnet.org/fact_sheets/fruit_flies__tonga_171.htm, Bactrocera passiflorae
http://www.pestnet.org/fact_sheets/fruit_flies__tonga_171.htm, Bactrocera distincta
http://www.pestnet.org/fact_sheets/fruit_flies__tonga_171.htm, Bactrocera obscura
http://www.pestnet.org/fact_sheets/fruit_flies__tonga_171.htm, Bactrocera xanthodes
http://www.pestnet.org/fact_sheets/fruit_flies__tonga_171.htm, Bactrocera paraxanthodea
http://www.pestnet.org/fact_sheets/fruit_flies__tonga_171.htm, Bactrocera neoxanthodes
http://www.pestnet.org/fact_sheets/fruit_flies__samoa_169.htm, Bactrocera kirki
